file	decision	rows	zhko_rows	direct_surface_cn_fields	numeric_surface_refs	dev_remark_cn_fields	suspect_fields	sample	reason
t_access.xml	reference_only	29	0	0	52	26			Text-like fields appear to be numeric language sid references.
t_actionfsmstate.xml	no_translation_code_data	433	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_agetranstable.xml	no_translation_code_data	21	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_aiactions.xml	no_translation_code_data	176	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_aicontrol.xml	no_translation_dev_remark_only	15	0	0	0	12			Chinese text appears only in developer remark fields.
t_aicontrol2.xml	no_translation_dev_remark_only	8	0	0	0	5			Chinese text appears only in developer remark fields.
t_aicontrol3.xml	no_translation_dev_remark_only	9	0	0	0	6			Chinese text appears only in developer remark fields.
t_aicontrol4.xml	no_translation_dev_remark_only	10	0	0	0	7			Chinese text appears only in developer remark fields.
t_aimethod.xml	no_translation_dev_remark_only	8	0	0	0	5			Chinese text appears only in developer remark fields.
t_ambition.xml	reference_only	30	0	0	27	27			Text-like fields appear to be numeric language sid references.
t_archerduelist0.xml	no_translation_code_data	9	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_archerduelist1.xml	no_translation_code_data	9	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_archerduelist2.xml	no_translation_code_data	9	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_archerduelist2s.xml	no_translation_code_data	8	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_archerduelist3.xml	no_translation_code_data	9	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_archerduelist3s.xml	no_translation_code_data	8	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_armorpiercing0.xml	no_translation_code_data	8	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_armorpiercing1.xml	no_translation_code_data	8	0	0	0	0			No obvious player-facing Chinese text fields detected.
t_armorpiercing2.xml	no_translation_code_data	8	0	0	0	0			No obvious player-facing Chinese text fields detected.
