file	decision	rows	direct_surface_cn	direct_name_cn	numeric_surface_refs	numeric_name_refs	remark_cn	surface_sample	name_sample	remark_sample
t_access.xml	language_sid_reference_table	29	0	0	52	0	26			remark=区划：敌国，禁地 | remark=区划：声望 低于 崇敬，阻挡
t_actionfsmstate.xml	code_or_numeric_data	433	0	0	0	0	0			
t_agetranstable.xml	code_or_numeric_data	21	0	0	0	0	0			
t_aiactions.xml	code_or_numeric_data	176	0	0	0	0	0			
t_aicontrol.xml	context_remark_only	15	0	0	0	0	12			remark=单手 | remark=持盾
t_aicontrol2.xml	context_remark_only	8	0	0	0	0	5			remark=角色等级最低 | remark=角色等级低
t_aicontrol3.xml	context_remark_only	9	0	0	0	0	6			remark=白色品质，普通 | remark=绿色品质，优质
t_aicontrol4.xml	context_remark_only	10	0	0	0	0	7			remark=平衡 | remark=精
t_aimethod.xml	context_remark_only	8	0	0	0	0	5			remark=智能攻击（仅普攻） | remark=法术一
t_ambition.xml	language_sid_reference_table	30	0	0	0	27	27			remark=安于现状 | remark=解牛庖丁
t_archerduelist0.xml	code_or_numeric_data	9	0	0	0	0	0			
t_archerduelist1.xml	code_or_numeric_data	9	0	0	0	0	0			
t_archerduelist2.xml	code_or_numeric_data	9	0	0	0	0	0			
t_archerduelist2s.xml	code_or_numeric_data	8	0	0	0	0	0			
t_archerduelist3.xml	code_or_numeric_data	9	0	0	0	0	0			
t_archerduelist3s.xml	code_or_numeric_data	8	0	0	0	0	0			
t_armorpiercing0.xml	code_or_numeric_data	8	0	0	0	0	0			
t_armorpiercing1.xml	code_or_numeric_data	8	0	0	0	0	0			
t_armorpiercing2.xml	code_or_numeric_data	8	0	0	0	0	0			
t_armorpiercing2s.xml	code_or_numeric_data	7	0	0	0	0	0			
t_armorpiercing3.xml	code_or_numeric_data	10	0	0	0	0	0			
t_armorpiercing3s.xml	code_or_numeric_data	9	0	0	0	0	0			
t_armyconsume.xml	code_or_numeric_data	207	0	0	0	0	0			
t_askforadvice.xml	code_or_numeric_data	3022	0	0	0	0	0			
t_assault0.xml	code_or_numeric_data	8	0	0	0	0	0			
t_assault1.xml	code_or_numeric_data	8	0	0	0	0	0			
t_assault2.xml	code_or_numeric_data	8	0	0	0	0	0			
t_assault2s.xml	code_or_numeric_data	7	0	0	0	0	0			
t_assault3.xml	code_or_numeric_data	9	0	0	0	0	0			
t_assault3s.xml	code_or_numeric_data	8	0	0	0	0	0			
t_assesttypes.xml	code_or_numeric_data	71	0	0	0	0	0			
t_associatecondition.xml	code_or_numeric_data	9	0	0	0	0	0			
t_atmosphererole.xml	context_remark_only	45	0	0	0	0	42			remark=士人区华夏族男性 | remark=士人区华夏族女性
t_attendant.xml	code_or_numeric_data	135	0	0	0	0	0			
t_attendentcharge.xml	code_or_numeric_data	18	0	0	0	0	0			
t_attendentgroup.xml	code_or_numeric_data	31	0	0	0	0	0			
t_attendentstorerefresh.xml	code_or_numeric_data	69	0	0	0	0	0			
t_attribute.xml	code_or_numeric_data	33	0	0	0	0	0			
t_awaken.xml	code_or_numeric_data	38	0	0	0	0	0			
t_bagconsume.xml	code_or_numeric_data	7	0	0	0	0	0			
t_battlefield.xml	code_or_numeric_data	19	0	0	0	0	0			
t_battlefieldbuilding.xml	language_sid_reference_table	18	0	0	15	15	15			remark=阶梯 | remark=云梯
t_battlefieldeffect.xml	code_or_numeric_data	5	0	0	0	0	0			
t_battlefieldlandform.xml	language_sid_reference_table	11	0	0	8	8	8			remark=平地 | remark=山地
t_bear1.xml	code_or_numeric_data	7	0	0	0	0	0			
t_bear2.xml	code_or_numeric_data	8	0	0	0	0	0			
t_bear21.xml	code_or_numeric_data	9	0	0	0	0	0			
